smiles,new_category
CC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC(=C(C=C2)[N+](=O)[O-])C,0.0
CC1=C(C(NC(=O)N1)C2=C(C=CC(=C2)Br)OCC(=O)N)C(=O)C,0.0
C1CC(OC1)C(=O)NC2=NN=C(S2)SCC3=C(C=CC=C3Cl)Cl,0.0
C=CCN1C(=NN=C1SCC(=O)NCC2=CC=CO2)CSC3=NC4=CC=CC=C4S3,0.0
COC1=C(C=C\2C(=C1)CCC/C2=N\NC(=O)C3=CC=CO3)OC,0.0
COC1=CC=CC=C1N2C(=C(SC2=S)C(=O)N)N,0.0
CCOC(=O)N1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)OCC(=O)OC)C,0.0
C1CCC(C1)N2C=NC3=C2C=CC(=C3)C(=O)NCC4=CC=CS4,0.0
CC1=C(C=CC=C1Cl)NC2=NC(=NC(=N2)N)CSC3=NC=CC=N3,0.0
CCC1=C(SC(=C1C(=O)OC(C)C)NC(=O)C2=CC=CS2)C,0.0
CCOC1=CC=C(C=C1)/C=C\C(=N\O)\C,0.0
CC1=CC=C(C=C1)S(=O)(=O)NC(CCSC)C(=O)NC2CCCCC2,0.0
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)S(=O)(=O)C4=CC(=C(C=C4)F)F,0.0
COC(=O)C1=CN(C(=O)C(=C1)Br)CCC2=CCCCC2,0.0
C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(/C(=N\O)/C)O)N)O,0.0
COC1=CC=CC=C1N2CCN(CC2)CCC3=CNC4=CC5=C(C=C43)OCO5.C(C(C(=O)O)O)(C(=O)O)O,0.0
CCOC(=O)CC1=C(C=CC=N1)C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3,0.0
CC1CCCC(N1CCCNC(=O)CN2C(=O)C3=C(C=N2)C4=CC=CC=C4N3C)C,0.0
C1=CC=C2C(=C1)C3=C(N2)C(=O)N(C(=N3)SCC(=O)NCC4=CC=CO4)C5=CC=C(C=C5)F,0.0
C1CCN(CC1)C(=O)CN2C(=NC(=N2)Cl)Cl,0.0
CC(=O)COC1=NN(C=N1)C2=CC=CC=C2,1.0
CC1CCN(CC1)C(=O)C2=C(N=CN2)C(=O)N[C@@H](CCCCNC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,0.0
CC1(CC2=C(C(NC3=CC=CC=C3N2)C4=CC=CS4)C(=O)C1)C,0.0
CC1=CC=C(C=C1)S(=O)(=O)CCC(=O)NCC2=CC=CO2,0.0
CCSC1=C(C2(CCCC2)C(=C(N1)N)C#N)C#N,0.0
CC(C)CC(C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CC1=CC=C(C=C1)OCC2=CC=CC=C2)NC(=O)OC(C)(C)C,0.0
CCOC(=O)CSC1=NN=C(O1)C2=CC=CC=C2OC,0.0
C1=CC=C2C(=C1)N=NN2CC(CN3C4=CC=CC=C4SC5=CC=CC=C53)O,0.0
CC(=O)CC1=NSC(=N1)NC2=CC(=C(C=C2)OC)OC,1.0
CC1=CC(=NC(=N1)C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CNS(=O)(=O)C3=CC=CC=C3,0.0
CC1=CC=C(C=C1)S(=O)(=O)CC2=CC=C(O2)C(=O)NCCCN3CCN(CC3)C,0.0
C1CNC2(CCN(CC2)C(=O)CNC(=O)CC3=CC=CC=C3)C4=C1NC=N4,0.0
CC(=CC(=O)OCC(=O)NC1=C(C=C(C=C1)F)Cl)C,0.0
CC1=C(C=C(O1)C(=O)N)COC2=CC=C(C=C2)C(=O)N,0.0
C1CN(CCC1(F)F)C(=O)[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,0.0
C12C(C(OC1C(=O)O)C(=O)O)C(C2(F)F)(F)F,0.0
C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O.C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,0.0
CC1=CC(=NO1)NC(=O)CC2=CC=CS2,0.0
C1=CC(=CC(=C1)NC(=S)NC(=O)COC2=C(C=C(C=C2)Br)Br)CO,0.0
CCOC(=O)C1CCN(CC1)C(=O)CCN2C(=O)C3=CC=CC=C3NC2=O,0.0
